Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02 00:00:00-05:00,492.4169149630152,492.9269008174238,475.9276978427075,481.65740966796875,41125400,0.0,0.0
2024-01-03 00:00:00-05:00,474.8277371470654,481.8173995731091,473.17782063005194,475.6676940917969,32089600,0.0,0.0
2024-01-04 00:00:00-05:00,477.6475998464708,484.97724247575263,475.05769452213394,479.9574890136719,30653500,0.0,0.0
2024-01-05 00:00:00-05:00,484.59725234566076,495.4467492683494,483.03732799632047,490.94696044921875,41456800,0.0,0.0
2024-01-08 00:00:00-05:00,495.0967460611004,522.7254535381536,494.76677498381866,522.5054931640625,64251000,0.0,0.0
2024-01-09 00:00:00-05:00,523.9854537310143,543.2245423454635,516.8758015659237,531.3751220703125,77310000,0.0,0.0
2024-01-10 00:00:00-05:00,536.1348050009552,545.9743699509833,534.864906118595,543.4744873046875,53379600,0.0,0.0
2024-01-11 00:00:00-05:00,549.964211470419,553.4340805636872,535.5748713011493,548.1942749023438,59675900,0.0,0.0
2024-01-12 00:00:00-05:00,546.1744196098422,549.6742556148072,543.2745310785241,547.0743408203125,35247900,0.0,0.0
2024-01-16 00:00:00-05:00,550.1542038084857,568.3233350277694,548.9742664431028,563.7935791015625,44958000,0.0,0.0
2024-01-17 00:00:00-05:00,563.4435265768236,564.6835196496912,547.3743344640463,560.5037231445312,47439400,0.0,0.0
2024-01-18 00:00:00-05:00,572.5731093666915,575.9729742526274,561.043682087628,571.043212890625,49165000,0.0,0.0
2024-01-19 00:00:00-05:00,579.8628258107696,594.9721027125769,572.2231693735665,594.882080078125,54210300,0.0,0.0
2024-01-22 00:00:00-05:00,600.4618510336633,603.2817262112128,590.672331768599,596.5120239257812,45295500,0.0,0.0
2024-01-23 00:00:00-05:00,595.672078119088,599.0718820639266,585.8225033945589,598.701904296875,29465400,0.0,0.0
2024-01-24 00:00:00-05:00,603.0116661504815,628.4604835153165,599.3518648365299,613.5911865234375,56027100,0.0,0.0
2024-01-25 00:00:00-05:00,623.4707251739889,627.1605543608972,608.4714294600998,616.1410522460938,48277700,0.0,0.0
2024-01-26 00:00:00-05:00,609.5713833999547,617.8010388886267,605.7015697978993,610.2813720703125,39030900,0.0,0.0
2024-01-29 00:00:00-05:00,612.2912887425915,624.8607065175925,609.0414411716959,624.6207275390625,34873300,0.0,0.0
2024-01-30 00:00:00-05:00,628.9705220045091,634.9002367720275,622.57079752668,627.7105712890625,41073500,0.0,0.0
2024-01-31 00:00:00-05:00,614.3711956069668,622.6607846529175,606.9715184159966,615.2411499023438,45379500,0.0,0.0
2024-02-01 00:00:00-05:00,620.9708934740116,631.8803552636043,616.4711043908667,630.240478515625,36914600,0.0,0.0
2024-02-02 00:00:00-05:00,639.7100088424377,665.968787933637,636.8701761170225,661.5689697265625,47578000,0.0,0.0
2024-02-05 00:00:00-05:00,682.2179876850402,694.937361545793,672.0184540796995,693.2874755859375,68007800,0.0,0.0
2024-02-06 00:00:00-05:00,696.2673457798666,697.5072778844439,662.9689190649632,682.197998046875,68311100,0.0,0.0
2024-02-07 00:00:00-05:00,683.157939858031,702.1670574706372,675.9682748484547,700.9570922851562,49557500,0.0,0.0
2024-02-08 00:00:00-05:00,700.7071333965963,707.9068080038953,694.5174211968044,696.3773193359375,41442200,0.0,0.0
2024-02-09 00:00:00-05:00,705.2969536383907,721.8161377355045,702.0870821405521,721.2962036132812,43663700,0.0,0.0
2024-02-12 00:00:00-05:00,725.9659604471091,746.0750029131206,712.4665934140016,722.4461059570312,61371000,0.0,0.0
2024-02-13 00:00:00-05:00,703.9669966080675,734.4655667736158,696.1673744771075,721.2462158203125,60258000,0.0,0.0
2024-02-14 00:00:00-05:00,731.9856790073508,742.3251597591762,719.3462573272933,738.96533203125,50491700,0.0,0.0
2024-02-15 00:00:00-05:00,738.655377182341,739.715325054747,723.9660633181978,726.5459594726562,42012200,0.0,0.0
2024-02-16 00:00:00-05:00,740.9652449366281,743.9851228201451,724.9760046794784,726.095947265625,49391800,0.0,0.0
2024-02-20 00:00:00-05:00,719.436207066238,719.5262296968826,677.3082403130875,694.4874267578125,70483300,0.0,0.0
